tenant_id,full_name,email,phone,city,property_type,preferred_language,tenant_age,lease_start_date,lease_end_date,lease_duration_months,days_to_expiry,years_at_property,monthly_rent,rent_increase_pct,market_rent_ratio,nearby_vacancy_rate,late_payments,missed_payments,avg_days_late,payment_consistency,maintenance_requests,unresolved_issues,avg_resolution_days,engagement_score,satisfaction_score,complaints_filed,response_rate,portal_logins_last_30d,communication_score,sentiment_score,will_not_renew
T00011,Sana Deshpande,sarmaakarsh@example.org,2188858496,Mumbai,3BHK,Kannada,35,2021-06-06,2021-12-03,6,-941,3.1,22993,13.8,1.242,0.104,0,0,0.0,1.0,0,0,3.1,1.0,10.0,0,0.909,6,0.822,1.0,0
T00012,Stuvan Deo,pkara@example.org,+915137634198,Delhi,3BHK,Telugu,58,2021-09-09,2022-03-08,6,-846,2.8,39963,7.3,1.207,0.196,3,1,11.5,0.857,1,0,4.2,0.499,6.1,0,0.801,9,0.88,0.612,0
T00013,Elakshi Ganesan,vtata@example.com,6726111099,Kolkata,Studio,Tamil,45,2021-10-17,2022-04-15,6,-808,2.7,46829,3.1,0.848,0.139,2,7,22.9,0.515,0,0,7.6,0.326,5.4,1,0.723,3,0.374,0.158,1
T00014,Aaryahi Chaudry,kissac@example.org,7945377762,Bangalore,Villa,Hindi,24,2021-01-03,2021-12-29,12,-915,3.5,69592,12.2,1.378,0.105,1,0,14.0,0.977,1,0,8.1,1.0,8.7,0,0.991,8,1.0,0.859,0
T00015,Onkar Salvi,naggarwal@example.net,07773613774,Chennai,Studio,Telugu,53,2021-11-25,2023-11-15,24,-229,2.6,51228,7.1,1.02,0.046,7,6,21.5,0.406,0,0,15.2,0.531,8.7,1,0.697,5,0.883,0.413,1
T00016,Heer Dua,siya49@example.com,05544155261,Delhi,3BHK,Kannada,39,2021-05-20,2021-11-16,6,-958,3.1,52548,7.3,1.079,0.131,6,9,20.5,0.368,2,2,13.5,0.443,2.3,4,0.575,1,0.408,-0.792,1
T00017,Neysa Bhardwaj,loyalnavya@example.net,+916606843797,Mumbai,Villa,Telugu,28,2022-12-02,2023-11-27,12,-217,1.6,19846,13.5,1.026,0.072,0,0,0.0,1.0,3,1,9.8,0.789,9.8,3,0.739,5,0.939,0.465,0
T00018,Anya Chakrabarti,sahilkibe@example.com,04973246425,Pune,3BHK,Telugu,41,2022-08-25,2023-08-20,12,-316,1.9,40780,5.5,0.792,0.184,2,11,28.6,0.0,1,0,7.0,0.038,3.2,3,0.507,1,0.537,-0.777,1
T00019,Aaryahi Swamy,bhavin85@example.net,+918026348555,Mumbai,Studio,Hindi,55,2022-03-02,2022-08-29,6,-672,2.3,78701,10.5,1.154,0.041,4,2,12.5,0.724,4,0,6.9,0.506,6.8,0,0.763,8,0.711,0.491,0
T00020,Hrishita Dada,navyadatta@example.org,02090296755,Mumbai,Commercial,Telugu,51,2021-04-29,2021-10-26,6,-979,3.2,25781,1.9,0.995,0.04,5,16,22.0,0.051,3,1,10.6,0.016,3.3,5,0.373,0,0.619,-0.769,1
T00021,Aaryahi Sankaran,neysabandi@example.com,00159977580,Hyderabad,Commercial,Telugu,54,2022-04-05,2023-03-31,12,-458,2.2,22293,13.3,0.99,0.169,2,0,11.5,0.929,3,1,9.8,1.0,8.7,1,1.0,8,0.849,0.495,0
T00022,Mahika Barad,chackodivyansh@example.net,2195305950,Delhi,2BHK,Telugu,26,2021-11-17,2023-11-07,24,-237,2.6,28006,4.1,1.234,0.186,4,0,8.2,0.875,4,1,9.8,0.832,6.7,4,0.751,8,0.831,0.369,0
T00023,Charvi Garg,ishitaghose@example.org,03026972189,Hyderabad,Villa,English,31,2021-07-05,2022-01-01,6,-912,3.0,60531,7.5,1.283,0.165,0,1,17.0,0.946,0,0,2.9,0.647,6.9,1,0.711,2,0.984,0.905,0
T00024,Taimur Bhat,abuch@example.org,+911854136245,Chennai,2BHK,Kannada,47,2021-01-20,2022-01-15,12,-898,3.4,64267,1.0,1.01,0.075,0,0,0.0,1.0,0,0,9.5,1.0,8.3,0,0.838,4,0.919,0.801,0
T00025,Tiya Chakraborty,kimayashankar@example.org,01129299165,Hyderabad,Apartment,Telugu,50,2021-02-27,2022-02-22,12,-860,3.3,48685,5.2,1.377,0.146,5,0,5.6,0.878,4,1,14.2,0.82,7.4,1,0.815,2,0.822,0.192,0
T00026,Jayesh Saraf,navyadeol@example.com,9058883375,Bangalore,Villa,Tamil,64,2021-11-14,2023-11-04,24,-240,2.6,51054,11.7,1.052,0.095,5,16,25.5,0.0,4,1,8.2,0.189,2.9,5,0.414,0,0.292,-0.501,1
T00027,Anaya Guha,manikya20@example.org,+915934638479,Mumbai,2BHK,Telugu,45,2021-07-24,2023-07-14,24,-353,2.9,14839,0.7,0.994,0.163,4,0,7.8,0.889,1,0,11.3,0.766,8.8,1,0.899,2,1.0,0.568,0
T00028,Riaan Sur,umammen@example.net,05158717017,Chennai,Villa,Kannada,37,2022-09-04,2024-08-24,24,54,1.8,75551,0.9,1.243,0.102,5,11,19.8,0.0,3,1,15.7,0.114,2.2,2,0.581,1,0.362,-1.0,1
T00029,Samarth Sidhu,salvivanya@example.org,04366359296,Chennai,2BHK,Kannada,47,2021-02-14,2021-08-13,6,-1053,3.4,48642,6.6,0.788,0.062,5,2,11.3,0.786,2,1,12.2,0.727,8.2,1,0.941,2,0.669,0.298,0
T00030,Suhana Thaker,surhimmat@example.com,+913220392564,Mumbai,Villa,Hindi,45,2021-02-03,2023-01-24,24,-524,3.4,66972,7.8,0.79,0.169,8,16,23.6,0.048,7,4,13.2,0.0,4.0,2,0.587,0,0.675,-0.558,1
T00031,Ishaan Sastry,sarasathe@example.com,07642792908,Kolkata,Studio,Kannada,25,2022-08-25,2023-02-21,6,-496,1.9,64704,6.2,1.147,0.11,1,8,25.2,0.261,1,0,4.3,0.325,5.1,2,0.625,2,0.516,-0.165,1
T00032,Umang Batra,doshidivit@example.net,01858453641,Kolkata,Villa,Hindi,51,2022-05-10,2022-11-06,6,-603,2.1,61227,8.8,0.734,0.071,5,8,20.8,0.222,6,3,12.2,0.0,4.1,4,0.575,2,0.414,-0.663,1
T00033,Bhamini Malhotra,kismatchoudhary@example.net,+912294978726,Pune,3BHK,Kannada,22,2023-05-14,2025-05-03,24,306,1.1,45453,5.6,1.391,0.12,0,1,28.0,0.857,3,2,14.7,0.255,4.9,2,0.732,0,0.75,-0.187,0
T00034,Riya Varghese,tiya76@example.com,0769502475,Chennai,Apartment,Tamil,43,2022-02-16,2024-02-06,24,-146,2.4,13100,3.6,1.101,0.146,2,5,27.1,0.586,1,1,10.8,0.46,5.5,3,0.529,4,0.495,0.296,0
T00035,Jivin Bhakta,ykalla@example.net,02330201851,Bangalore,Studio,Tamil,48,2022-03-28,2023-03-23,12,-466,2.3,62127,4.3,1.101,0.118,4,0,6.0,0.857,0,0,8.3,0.618,8.8,0,1.0,5,0.809,0.895,0
T00036,Gatik Karnik,xvig@example.com,+910421355251,Delhi,Apartment,English,44,2023-03-03,2023-08-30,6,-306,1.3,45700,6.1,1.355,0.178,3,0,9.0,0.824,1,0,4.0,0.563,7.6,1,0.817,3,0.499,0.164,1
T00037,Samarth Kaur,manderrania@example.com,+910038541789,Delhi,2BHK,English,63,2021-07-24,2022-07-19,12,-713,2.9,15754,0.1,0.969,0.1,5,10,19.7,0.306,5,1,8.6,0.873,8.3,0,0.529,5,0.811,0.112,1
T00038,Keya Ray,tgupta@example.com,+915595976499,Delhi,Villa,Tamil,25,2022-08-10,2023-02-06,6,-511,1.9,55127,8.0,0.815,0.174,9,3,14.7,0.375,1,0,15.8,0.551,7.4,0,0.831,5,0.791,-0.164,1
T00039,Yasmin Magar,dhruvmane@example.net,+916846617200,Pune,Commercial,English,54,2022-11-28,2023-05-27,6,-401,1.6,72071,14.5,0.962,0.18,0,1,44.0,0.9,2,2,6.9,0.593,7.4,0,0.677,6,0.591,-0.43,0
T00040,Samarth Khanna,jaggimishti@example.net,+916281249456,Pune,Commercial,Hindi,29,2021-03-24,2023-03-14,24,-475,3.3,25431,0.9,1.364,0.178,6,2,13.2,0.75,3,2,6.8,0.729,8.3,0,0.926,6,0.834,0.57,0
T00041,Rasha Maharaj,ttara@example.com,+913043705579,Bangalore,Commercial,English,44,2022-10-04,2024-09-23,24,84,1.7,72962,2.8,1.233,0.15,3,5,25.8,0.409,3,3,8.0,0.062,5.1,4,0.382,0,0.36,-0.96,1
T00042,Samaira Bhatti,madhup16@example.com,05323199444,Chennai,Studio,English,52,2021-12-07,2022-12-02,12,-577,2.6,32906,13.8,1.079,0.136,3,11,27.5,0.219,7,0,7.5,0.069,4.1,3,0.507,1,0.533,-0.906,1
T00043,Reyansh Mander,myramangat@example.com,6623476129,Kolkata,Villa,English,48,2021-02-04,2021-08-03,6,-1063,3.4,14358,7.5,1.004,0.161,1,0,11.0,0.976,2,0,6.2,0.893,9.5,0,1.0,11,0.976,0.352,0
T00044,Navya Som,charneelofar@example.net,+910844079062,Mumbai,Studio,Hindi,24,2022-06-25,2022-12-22,6,-557,2.0,70324,9.1,1.13,0.127,0,0,0.0,1.0,1,0,11.2,0.785,9.1,0,0.99,10,0.959,0.947,0
T00045,Samiha Dash,mangalgatik@example.com,02446201081,Pune,2BHK,Telugu,36,2021-12-01,2022-05-30,6,-763,2.6,67054,7.4,0.744,0.098,2,10,23.7,0.312,3,0,13.3,0.102,4.1,1,0.57,0,0.613,-1.0,1
T00046,Dhruv Mani,ayeshaboase@example.org,04848337610,Pune,Villa,Kannada,61,2021-09-15,2022-03-14,6,-840,2.8,72985,11.9,0.986,0.11,2,0,8.0,0.943,0,0,10.6,1.0,8.7,1,0.993,12,0.864,0.342,0
T00047,Darshit Gola,sahil67@example.com,9196441818,Pune,Studio,Telugu,26,2021-09-05,2022-08-31,12,-670,2.8,63460,7.8,0.944,0.038,7,6,17.8,0.457,2,0,15.0,0.349,4.6,0,0.587,1,0.902,-0.198,1
T00048,Shray Johal,gargmiraya@example.net,+916616281151,Chennai,Apartment,English,65,2021-02-15,2023-02-05,24,-512,3.4,52967,10.4,1.058,0.095,1,0,6.0,0.976,0,0,2.4,0.771,9.9,1,1.0,4,0.934,1.0,0
T00049,Lavanya Das,samrashalv@example.com,+915393532108,Mumbai,3BHK,Tamil,57,2022-01-28,2023-01-23,12,-525,2.4,78435,6.6,0.853,0.097,2,0,8.5,0.933,0,0,8.7,1.0,9.0,0,0.938,5,0.678,0.713,0
T00050,Advika Choudhury,qmall@example.org,+915031820694,Delhi,2BHK,Telugu,29,2021-02-03,2022-01-29,12,-884,3.4,19401,7.3,1.107,0.176,2,0,14.0,0.952,1,1,7.5,0.535,8.3,1,0.722,5,0.995,0.324,0
T00051,Purab Lad,taran97@example.org,+915537398815,Bangalore,Villa,English,56,2021-04-06,2023-03-27,24,-462,3.2,54952,12.1,0.772,0.086,4,12,22.1,0.3,4,1,16.4,0.094,3.0,4,0.582,1,0.641,-0.615,1
T00052,Anika Rajan,amira78@example.org,1834693189,Pune,Studio,Kannada,58,2021-05-17,2023-05-07,24,-421,3.1,16966,13.8,1.364,0.092,6,14,25.7,0.128,2,0,17.9,0.327,5.5,1,0.652,0,0.697,-0.446,1
T00053,Nehmat Majumdar,yakshitbuch@example.net,09705181553,Kolkata,3BHK,Telugu,27,2022-12-31,2024-12-20,24,172,1.5,63518,1.8,1.196,0.146,2,0,8.5,0.895,3,0,8.3,0.613,7.5,1,0.848,5,0.611,0.867,0
T00054,Ela Madan,adirasodhi@example.net,+917199220570,Delhi,Studio,Tamil,39,2023-03-13,2025-03-02,24,244,1.3,56741,12.9,0.871,0.105,2,1,12.7,0.75,3,0,11.1,0.795,6.2,0,0.668,2,0.694,0.054,0
T00055,Vidur Mannan,tanya48@example.net,+915248273519,Kolkata,Apartment,Tamil,42,2021-06-03,2021-11-30,6,-944,3.1,62967,14.6,0.8,0.07,8,0,7.9,0.789,2,1,6.9,0.736,10.0,2,0.585,8,0.993,0.52,0
T00056,Aradhya Chanda,samairagoswami@example.com,+915472545850,Delhi,3BHK,Kannada,28,2022-02-27,2024-02-17,24,-135,2.3,19128,7.7,1.174,0.067,2,9,26.7,0.31,3,1,16.1,0.184,3.9,2,0.616,1,0.579,-0.241,1
T00057,Eshani Chander,hunarchopra@example.com,04434868558,Kolkata,3BHK,English,51,2021-02-01,2022-01-27,12,-886,3.4,40748,11.7,0.741,0.198,6,23,23.0,0.0,3,0,11.0,0.065,3.9,1,0.546,1,0.818,-1.0,1
T00058,Jayant Vora,nirvi09@example.com,4902759868,Mumbai,Villa,Hindi,56,2021-06-13,2021-12-10,6,-934,3.1,39608,14.4,1.154,0.051,3,19,30.0,0.0,6,3,9.9,0.0,3.4,5,0.544,0,0.752,-0.968,1
T00059,Dhanush Kanda,ghoshkabir@example.org,+912252697226,Kolkata,2BHK,Kannada,33,2022-12-12,2024-12-01,24,153,1.6,37260,3.7,0.747,0.066,3,8,28.7,0.0,4,0,15.1,0.0,1.6,3,0.441,0,0.554,-0.732,1
T00060,Misha Atwal,edoshi@example.org,+916919848122,Mumbai,3BHK,Telugu,44,2023-01-21,2024-01-16,12,-167,1.4,72629,9.1,1.004,0.03,4,1,6.8,0.667,3,1,15.7,0.619,8.5,0,0.71,8,0.609,0.488,0
T00061,Kismat Grover,bakshipranay@example.net,00469540705,Pune,Commercial,Hindi,64,2021-07-14,2022-07-09,12,-723,3.0,78795,14.0,1.101,0.062,6,1,10.4,0.784,2,1,3.4,0.53,8.5,1,0.983,6,0.785,0.313,0
T00062,Ela Chandra,ksingh@example.com,2935189587,Hyderabad,Commercial,English,50,2021-02-05,2023-01-26,24,-522,3.4,27326,12.9,1.179,0.195,6,14,23.8,0.19,5,0,10.1,0.289,3.1,2,0.724,0,0.465,-0.002,1
T00063,Eshani Sarkar,sahilkeer@example.net,+911836271818,Bangalore,2BHK,Telugu,60,2021-11-04,2023-10-25,24,-250,2.7,43313,0.4,0.735,0.174,5,0,10.2,0.848,3,0,6.6,0.833,7.7,0,0.907,7,0.829,0.629,0
T00064,Pihu Chanda,singhehsaan@example.net,+911997258868,Mumbai,2BHK,Kannada,23,2021-08-19,2023-08-09,24,-327,2.9,61674,9.0,1.162,0.143,7,0,11.6,0.8,1,1,4.1,0.676,8.7,2,0.676,10,0.982,0.094,1
T00065,Zoya Bajaj,vivaan47@example.net,+917924875359,Delhi,2BHK,Telugu,46,2022-11-03,2023-10-29,12,-246,1.7,62862,1.8,0.738,0.134,5,9,24.2,0.0,5,1,10.1,0.388,4.3,0,0.543,2,0.554,-0.664,1
T00066,Kiara Ramaswamy,talwarkimaya@example.com,3230735241,Chennai,Villa,Kannada,41,2021-07-19,2023-07-09,24,-358,3.0,58026,4.4,1.209,0.127,7,5,14.6,0.528,3,1,8.3,0.427,6.2,2,0.732,2,0.82,-0.076,1
T00067,Bhamini Dutta,shanaya63@example.org,8288077150,Delhi,3BHK,Tamil,32,2022-12-05,2023-06-03,6,-394,1.6,55087,10.4,1.141,0.074,3,1,12.8,0.75,2,1,8.1,0.524,8.5,1,0.774,5,0.845,0.159,1
T00068,Oorja Kala,ivenkataraman@example.net,+910557309839,Mumbai,3BHK,Kannada,61,2022-09-13,2024-09-02,24,63,1.8,21751,14.8,0.907,0.104,2,0,9.5,0.909,2,1,9.0,0.542,8.0,0,0.819,3,0.861,0.731,0
T00069,Ishaan Dar,bloyal@example.net,5731884731,Kolkata,2BHK,Hindi,49,2021-06-28,2021-12-25,6,-919,3.0,55214,0.7,0.883,0.077,2,0,9.5,0.946,1,1,14.2,1.0,10.0,0,1.0,8,1.0,0.693,0
T00070,Yasmin Borde,tarinianand@example.com,07408361275,Hyderabad,Studio,Kannada,55,2022-08-14,2024-08-03,24,33,1.9,52341,7.5,1.157,0.038,5,4,15.8,0.435,2,0,15.3,0.016,2.8,2,0.679,1,0.545,-0.332,1
T00071,Pihu D’Alia,prisha31@example.net,+917230234750,Chennai,Apartment,Kannada,57,2022-07-25,2024-07-14,24,13,1.9,47924,5.9,1.02,0.161,3,1,13.2,0.792,0,0,12.4,0.749,8.0,1,0.882,3,1.0,0.228,0
T00072,Aradhya Chhabra,otrivedi@example.com,00558373054,Hyderabad,Apartment,Telugu,64,2022-10-11,2024-09-30,24,91,1.7,67048,13.3,1.059,0.172,3,5,22.1,0.381,4,1,7.5,0.515,6.6,1,0.967,2,0.924,0.565,0
T00073,Prisha Yohannan,sarkardharmajan@example.net,+916769010477,Pune,Commercial,Tamil,35,2021-11-18,2023-11-08,24,-236,2.6,36487,7.7,1.258,0.145,8,3,14.3,0.562,4,1,12.5,0.353,5.9,2,0.666,4,0.607,-0.019,0
T00074,Shlok Chada,jbala@example.org,6576946915,Delhi,Commercial,English,38,2022-03-03,2024-02-21,24,-131,2.3,15051,8.6,0.951,0.161,2,1,15.0,0.862,1,1,3.6,0.575,8.6,3,0.752,1,0.718,0.017,0
T00075,Tushar Ram,sarnadhanush@example.net,+913801500489,Hyderabad,Apartment,Tamil,48,2021-08-14,2022-02-10,6,-872,2.9,74209,6.4,0.773,0.117,6,2,16.1,0.722,1,0,2.7,0.887,8.4,3,0.871,3,0.544,0.188,0
T00076,Divyansh Goda,wbehl@example.org,+915301831329,Pune,Villa,English,51,2022-10-25,2023-04-23,6,-435,1.7,28152,7.1,1.073,0.045,1,8,25.2,0.19,4,0,6.0,0.0,4.7,3,0.506,2,0.438,-0.125,1
T00077,Hridaan Varma,balasamar@example.org,08016411676,Delhi,Villa,Hindi,65,2023-03-28,2025-03-17,24,259,1.3,26884,2.7,1.26,0.173,4,2,16.2,0.5,2,0,9.6,0.665,7.9,0,0.838,4,0.72,0.71,0
T00078,Dharmajan Char,ramanirvi@example.net,07834140349,Hyderabad,Apartment,English,38,2022-04-18,2024-04-07,24,-85,2.2,46096,10.9,1.324,0.173,4,13,22.9,0.0,7,1,16.7,0.0,3.6,0,0.461,0,0.481,-1.0,1
T00079,Indrajit Kaul,oghosh@example.com,00587484432,Hyderabad,3BHK,English,57,2023-04-13,2025-04-02,24,275,1.2,35886,8.5,1.311,0.046,1,4,26.0,0.4,1,0,13.1,0.372,5.0,2,0.754,2,0.847,-0.217,1
T00080,Shray Kala,advika84@example.org,08985525827,Mumbai,Apartment,Hindi,36,2023-02-19,2024-02-14,12,-138,1.4,42649,14.6,0.856,0.093,1,0,6.0,0.941,0,0,6.1,0.607,7.9,0,0.868,7,1.0,1.0,0
T00081,Saanvi Kapoor,pchokshi@example.org,03412661482,Kolkata,3BHK,Kannada,30,2021-12-20,2022-12-15,12,-564,2.5,8864,11.5,1.136,0.112,3,11,24.9,0.194,5,2,11.3,0.212,5.3,3,0.674,0,0.746,-0.245,1
T00082,Jivika Chanda,eshani15@example.net,00218348740,Chennai,Studio,Telugu,30,2022-09-03,2024-08-23,24,53,1.8,57572,3.5,1.301,0.071,3,13,28.8,0.0,4,1,15.5,0.276,3.4,1,0.496,1,0.653,-0.406,1
T00083,Saksham Bir,jhanvikeer@example.net,3243690929,Mumbai,Apartment,Kannada,55,2022-02-23,2023-02-18,12,-499,2.4,8932,0.1,0.764,0.046,4,8,24.2,0.31,7,2,12.5,0.047,2.4,1,0.699,0,0.89,-0.292,1
T00084,Yuvaan Wali,tkalita@example.net,+919358684411,Chennai,Commercial,Telugu,47,2021-08-16,2022-08-11,12,-690,2.9,12948,2.6,1.054,0.121,1,0,13.0,0.972,0,0,4.3,0.864,10.0,0,0.943,8,0.956,0.901,0
T00085,Mannat Dasgupta,khoslaamira@example.com,+918869198232,Kolkata,Commercial,Kannada,58,2021-12-15,2022-06-13,6,-749,2.5,41776,3.1,0.842,0.065,5,2,16.1,0.71,0,0,15.3,0.397,6.5,4,0.73,8,0.445,-0.034,1
T00086,Arnav Tella,anay04@example.org,05801231345,Pune,3BHK,Kannada,24,2021-03-22,2023-03-12,24,-477,3.3,8868,1.5,0.889,0.062,3,0,6.3,0.925,0,0,5.2,0.834,9.5,0,0.995,4,0.851,0.709,0
T00087,Farhan Tak,himmat91@example.net,6281093827,Mumbai,Villa,Telugu,22,2022-01-26,2022-07-25,6,-707,2.4,27601,4.3,1.142,0.046,3,3,16.7,0.7,3,2,11.9,0.324,7.1,1,0.859,7,0.69,0.492,1
T00088,Samiha Kaul,drishyasalvi@example.org,2849935981,Hyderabad,3BHK,English,32,2022-10-09,2024-09-28,24,89,1.7,17351,3.9,0.809,0.138,5,0,8.4,0.773,3,0,9.8,0.899,8.6,0,0.848,3,0.837,0.268,0
T00089,Madhav Verma,qbawa@example.com,+916286027409,Mumbai,Villa,Telugu,62,2021-11-13,2022-05-12,6,-781,2.6,45247,2.4,1.216,0.09,10,8,21.3,0.212,7,3,5.5,0.006,4.5,1,0.464,1,0.501,-0.763,1
T00090,Pihu Madan,asachdev@example.com,+911663293448,Kolkata,Commercial,Hindi,63,2021-09-03,2023-08-24,24,-312,2.8,43633,3.7,1.396,0.056,7,1,7.2,0.743,0,0,3.3,0.659,8.6,0,0.764,7,0.484,0.78,0
T00091,Eshani Baral,mdave@example.net,08190312419,Pune,Studio,Telugu,65,2021-04-07,2023-03-28,24,-461,3.2,69974,8.2,0.927,0.104,8,11,19.0,0.25,4,0,13.9,0.09,4.4,1,0.503,3,0.644,-0.05,1
T00092,Diya Ramakrishnan,cshanker@example.com,08639557169,Hyderabad,Studio,Hindi,38,2021-06-14,2021-12-11,6,-933,3.0,66901,1.1,0.913,0.19,7,14,22.7,0.079,6,3,10.1,0.0,3.5,7,0.39,2,0.565,-0.463,1
T00093,Miraya Varughese,gopalfaiyaz@example.org,3441182935,Pune,Studio,Telugu,34,2021-04-10,2021-10-07,6,-998,3.2,77685,3.5,1.268,0.037,4,24,26.2,0.0,3,2,6.3,0.0,3.7,2,0.431,0,0.667,-1.0,1
T00094,Azad Randhawa,bgoyal@example.net,+917249064361,Kolkata,3BHK,Telugu,58,2023-01-11,2024-01-06,12,-177,1.5,30662,15.0,1.38,0.156,2,8,25.6,0.0,6,3,12.0,0.463,4.1,4,0.77,0,0.761,0.047,1
T00095,Lavanya Lalla,shloksubramanian@example.org,06989350142,Bangalore,2BHK,Tamil,30,2021-04-03,2021-09-30,6,-1005,3.2,59684,8.1,0.843,0.114,10,5,15.9,0.5,1,0,12.9,0.55,6.7,1,0.78,3,0.727,-0.054,0
T00096,Siya Ravel,aaryahivarkey@example.net,0992614583,Pune,Villa,Telugu,59,2021-05-25,2023-05-15,24,-413,3.1,10410,5.1,0.975,0.045,1,12,25.5,0.342,5,0,17.6,0.442,7.3,3,0.621,3,0.737,-0.381,1
T00097,Vaibhav Magar,chanderhazel@example.net,05387469790,Hyderabad,Villa,Telugu,37,2022-06-18,2024-06-07,24,-24,2.0,37809,4.1,1.245,0.039,3,7,30.2,0.32,3,0,10.0,0.0,5.7,4,0.818,3,0.42,-0.111,1
T00098,Rasha Acharya,ikrishnamurthy@example.org,+917907942067,Hyderabad,Commercial,Kannada,36,2021-10-01,2023-09-21,24,-284,2.8,38266,8.1,1.389,0.027,9,4,15.3,0.5,4,0,5.5,0.621,3.7,0,0.749,5,0.775,-0.258,0
T00099,Myra Desai,karnikvivaan@example.org,2299988975,Chennai,Studio,Telugu,47,2023-02-23,2025-02-12,24,226,1.4,46165,3.8,1.184,0.183,4,1,15.0,0.647,5,0,5.3,0.413,6.4,3,0.839,3,0.964,0.44,0
T00100,Inaaya  Chacko,chadhaahana@example.com,+916624990629,Bangalore,Villa,English,55,2021-04-27,2023-04-17,24,-441,3.2,55571,12.8,1.167,0.171,3,0,7.3,0.923,1,0,12.3,0.648,9.7,0,0.955,4,0.915,0.71,0
T00101,Hansh Mall,samihashah@example.net,08828810804,Chennai,3BHK,Tamil,65,2021-03-31,2021-09-27,6,-1008,3.3,31363,0.4,1.138,0.041,5,2,14.1,0.775,2,1,4.8,0.52,6.9,2,0.856,4,0.85,0.774,0
T00102,Bhamini Yogi,aayushdewan@example.org,1305604679,Delhi,2BHK,English,62,2022-02-28,2022-08-27,6,-674,2.3,35831,9.4,1.29,0.123,7,9,22.4,0.138,3,0,10.6,0.0,3.8,1,0.485,0,0.922,-0.631,1
T00103,Yashvi Chand,wram@example.net,+912144139258,Kolkata,2BHK,English,39,2022-09-02,2023-03-01,6,-488,1.8,49222,14.0,1.181,0.127,5,2,13.3,0.609,0,0,12.4,0.381,7.7,0,0.796,5,0.803,0.586,0
T00104,Elakshi Kari,sbhatnagar@example.net,+916099401856,Pune,2BHK,Kannada,41,2022-06-18,2024-06-07,24,-24,2.0,10946,5.9,1.193,0.18,0,0,0.0,1.0,1,1,1.6,1.0,9.9,0,0.959,13,0.93,1.0,0
